Test;Masse;Vitesse;Fissure
0;1479;Faible;Absente
0;1375;Moyenne;Absente
0;1122;Forte;Absente
0;1231;Faible;Presente
0;698;Moyenne;Presente
1;622;Forte;Presente
0;725;Faible;Absente
1;1268;Moyenne;Absente
1;744;Forte;Absente
1;542;Faible;Presente
1;1003;Moyenne;Presente
1;1128;Forte;Presente
1;1332;Faible;Absente
0;746;Moyenne;Absente
1;1155;Forte;Absente
0;1470;Faible;Presente
1;1419;Moyenne;Presente
1;763;Forte;Presente
0;1260;Faible;Absente
0;1355;Moyenne;Absente
0;868;Forte;Absente
1;986;Faible;Presente
1;1218;Moyenne;Presente
1;1034;Forte;Presente
0;905;Faible;Absente
1;1042;Moyenne;Absente
1;1229;Forte;Absente
1;1434;Faible;Presente
1;753;Moyenne;Presente
1;1144;Forte;Presente
0;1427;Faible;Absente
0;1273;Moyenne;Absente
1;1045;Forte;Absente
1;517;Faible;Presente
1;1326;Moyenne;Presente
1;1029;Forte;Presente
0;873;Faible;Absente
0;1011;Moyenne;Absente
1;890;Forte;Absente
0;932;Faible;Presente
1;1113;Moyenne;Presente
1;716;Forte;Presente
0;903;Faible;Absente
1;1361;Moyenne;Absente
1;380;Forte;Absente
1;1668;Faible;Presente
0;1115;Moyenne;Presente
1;1532;Forte;Presente
0;974;Faible;Absente
0;514;Moyenne;Absente
0;1106;Forte;Absente
0;920;Faible;Presente
1;840;Moyenne;Presente
1;1221;Forte;Presente
0;201;Faible;Absente
0;1256;Moyenne;Absente
1;1074;Forte;Absente
0;1282;Faible;Presente
1;982;Moyenne;Presente
1;1081;Forte;Presente
0;982;Faible;Absente
0;530;Moyenne;Absente
0;1030;Forte;Absente
1;989;Faible;Presente
1;1274;Moyenne;Presente
1;64;Forte;Presente
0;947;Faible;Absente
0;941;Moyenne;Absente
0;1084;Forte;Absente
1;1339;Faible;Presente
0;1105;Moyenne;Presente
1;1053;Forte;Presente
0;1472;Faible;Absente
1;953;Moyenne;Absente
0;937;Forte;Absente
1;961;Faible;Presente
1;1403;Moyenne;Presente
1;994;Forte;Presente
0;709;Faible;Absente
1;1399;Moyenne;Absente
1;1560;Forte;Absente
1;1229;Faible;Presente
1;785;Moyenne;Presente
1;1048;Forte;Presente
1;1271;Faible;Absente
0;922;Moyenne;Absente
1;987;Forte;Absente
1;1282;Faible;Presente
1;753;Moyenne;Presente
1;737;Forte;Presente
0;1113;Faible;Absente
0;1121;Moyenne;Absente
0;1027;Forte;Absente
0;834;Faible;Presente
1;665;Moyenne;Presente
1;1246;Forte;Presente
1;943;Faible;Absente
0;1311;Moyenne;Absente
0;917;Forte;Absente
0;848;Faible;Presente
1;1141;Moyenne;Presente
1;714;Forte;Presente
0;1213;Faible;Absente
1;908;Moyenne;Absente
1;1052;Forte;Absente
1;741;Faible;Presente
1;1099;Moyenne;Presente
1;845;Forte;Presente
0;1114;Faible;Absente
0;1006;Moyenne;Absente
0;1111;Forte;Absente
0;994;Faible;Presente
1;1022;Moyenne;Presente
1;608;Forte;Presente
0;1067;Faible;Absente
0;625;Moyenne;Absente
0;1107;Forte;Absente
1;1377;Faible;Presente
1;791;Moyenne;Presente
1;949;Forte;Presente
0;1061;Faible;Absente
0;1096;Moyenne;Absente
0;425;Forte;Absente
0;906;Faible;Presente
1;162;Moyenne;Presente
1;1154;Forte;Presente
0;1162;Faible;Absente
0;1144;Moyenne;Absente
0;829;Forte;Absente
0;1565;Faible;Presente
1;836;Moyenne;Presente
1;1619;Forte;Presente
0;599;Faible;Absente
0;613;Moyenne;Absente
0;810;Forte;Absente
0;908;Faible;Presente
1;603;Moyenne;Presente
1;773;Forte;Presente
0;1110;Faible;Absente
1;1177;Moyenne;Absente
1;1022;Forte;Absente
0;1413;Faible;Presente
1;1137;Moyenne;Presente
1;849;Forte;Presente
0;997;Faible;Absente
0;671;Moyenne;Absente
0;1242;Forte;Absente
1;606;Faible;Presente
1;1206;Moyenne;Presente
0;688;Forte;Presente
0;1204;Faible;Absente
0;642;Moyenne;Absente
0;780;Forte;Absente
0;718;Faible;Presente
1;1631;Moyenne;Presente
1;946;Forte;Presente
0;1179;Faible;Absente
0;1238;Moyenne;Absente
0;679;Forte;Absente
1;563;Faible;Presente
0;968;Moyenne;Presente
1;1057;Forte;Presente
0;696;Faible;Absente
1;832;Moyenne;Absente
1;1028;Forte;Absente
1;1295;Faible;Presente
1;880;Moyenne;Presente
0;1200;Forte;Presente
1;1155;Faible;Absente
1;494;Moyenne;Absente
0;904;Forte;Absente
1;655;Faible;Presente
1;1056;Moyenne;Presente
1;644;Forte;Presente
0;747;Faible;Absente
1;853;Moyenne;Absente
1;884;Forte;Absente
0;1073;Faible;Presente
1;819;Moyenne;Presente
1;1127;Forte;Presente
0;377;Faible;Absente
0;509;Moyenne;Absente
0;399;Forte;Absente
0;529;Faible;Presente
0;1172;Moyenne;Presente
1;1435;Forte;Presente
1;755;Faible;Absente
0;1348;Moyenne;Absente
1;1061;Forte;Absente
0;1248;Faible;Presente
1;344;Moyenne;Presente
1;1530;Forte;Presente
0;418;Faible;Absente
0;959;Moyenne;Absente
0;433;Forte;Absente
0;1236;Faible;Presente
1;1506;Moyenne;Presente
1;913;Forte;Presente
0;949;Faible;Absente
0;646;Moyenne;Absente
1;942;Forte;Absente
1;1105;Faible;Presente
1;964;Moyenne;Presente
1;1247;Forte;Presente
0;1435;Faible;Absente
1;1301;Moyenne;Absente
1;928;Forte;Absente
1;875;Faible;Presente
0;948;Moyenne;Presente
1;920;Forte;Presente
0;942;Faible;Absente
1;1081;Moyenne;Absente
0;1007;Forte;Absente
1;1458;Faible;Presente
0;1216;Moyenne;Presente
1;850;Forte;Presente
0;1096;Faible;Absente
0;1141;Moyenne;Absente
1;885;Forte;Absente
1;1330;Faible;Presente
1;989;Moyenne;Presente
1;1074;Forte;Presente
0;1439;Faible;Absente
0;763;Moyenne;Absente
1;326;Forte;Absente
1;1533;Faible;Presente
1;968;Moyenne;Presente
1;988;Forte;Presente
0;1016;Faible;Absente
1;1390;Moyenne;Absente
0;1036;Forte;Absente
0;1188;Faible;Presente
1;1109;Moyenne;Presente
1;1292;Forte;Presente
0;606;Faible;Absente
0;951;Moyenne;Absente
0;910;Forte;Absente
1;433;Faible;Presente
1;1084;Moyenne;Presente
1;700;Forte;Presente
0;1460;Faible;Absente
0;588;Moyenne;Absente
1;793;Forte;Absente
0;1032;Faible;Presente
1;933;Moyenne;Presente
1;491;Forte;Presente
0;981;Faible;Absente
1;604;Moyenne;Absente
1;1259;Forte;Absente
0;994;Faible;Presente
0;990;Moyenne;Presente
1;909;Forte;Presente
0;747;Faible;Absente
1;1138;Moyenne;Absente
0;824;Forte;Absente
0;1046;Faible;Presente
1;890;Moyenne;Presente
1;1194;Forte;Presente
0;1216;Faible;Absente
0;1339;Moyenne;Absente
1;1401;Forte;Absente
1;1094;Faible;Presente
0;1041;Moyenne;Presente
1;1492;Forte;Presente
0;937;Faible;Absente
0;1155;Moyenne;Absente
1;1454;Forte;Absente
1;1580;Faible;Presente
1;497;Moyenne;Presente
1;1216;Forte;Presente
0;420;Faible;Absente
0;1383;Moyenne;Absente
0;1374;Forte;Absente
1;1106;Faible;Presente
1;1148;Moyenne;Presente
1;837;Forte;Presente
0;760;Faible;Absente
1;794;Moyenne;Absente
1;1026;Forte;Absente
1;750;Faible;Presente
1;729;Moyenne;Presente
1;764;Forte;Presente
0;1017;Faible;Absente
0;1833;Moyenne;Absente
1;1000;Forte;Absente
0;1245;Faible;Presente
1;1323;Moyenne;Presente
1;1373;Forte;Presente
0;1427;Faible;Absente
1;1030;Moyenne;Absente
1;110;Forte;Absente
1;1300;Faible;Presente
1;1196;Moyenne;Presente
1;1230;Forte;Presente
0;562;Faible;Absente
0;1330;Moyenne;Absente
0;1265;Forte;Absente
1;731;Faible;Presente
1;620;Moyenne;Presente
1;1414;Forte;Presente
0;1108;Faible;Absente
0;1371;Moyenne;Absente
0;850;Forte;Absente
0;853;Faible;Presente
1;972;Moyenne;Presente
1;1207;Forte;Presente
1;505;Faible;Absente
1;1062;Moyenne;Absente
0;921;Forte;Absente
1;958;Faible;Presente
1;946;Moyenne;Presente
1;940;Forte;Presente
0;943;Faible;Absente
1;651;Moyenne;Absente
0;892;Forte;Absente
0;870;Faible;Presente
1;1372;Moyenne;Presente
1;1867;Forte;Presente
1;1507;Faible;Absente
0;479;Moyenne;Absente
0;960;Forte;Absente
0;824;Faible;Presente
1;1019;Moyenne;Presente
1;1279;Forte;Presente
0;1363;Faible;Absente
0;540;Moyenne;Absente
1;1159;Forte;Absente
1;857;Faible;Presente
1;1239;Moyenne;Presente
1;1061;Forte;Presente
0;819;Faible;Absente
0;516;Moyenne;Absente
0;1502;Forte;Absente
0;917;Faible;Presente
1;508;Moyenne;Presente
1;801;Forte;Presente
0;772;Faible;Absente
0;1200;Moyenne;Absente
0;1169;Forte;Absente
0;973;Faible;Presente
1;915;Moyenne;Presente
1;869;Forte;Presente
0;966;Faible;Absente
1;471;Moyenne;Absente
0;1063;Forte;Absente
0;1050;Faible;Presente
1;586;Moyenne;Presente
1;1062;Forte;Presente
0;1639;Faible;Absente
0;1190;Moyenne;Absente
1;914;Forte;Absente
1;904;Faible;Presente
1;774;Moyenne;Presente
1;939;Forte;Presente
0;832;Faible;Absente
0;616;Moyenne;Absente
0;1045;Forte;Absente
1;1428;Faible;Presente
1;595;Moyenne;Presente
1;1394;Forte;Presente
0;1174;Faible;Absente
0;731;Moyenne;Absente
1;1383;Forte;Absente
1;1039;Faible;Presente
1;1179;Moyenne;Presente
1;1053;Forte;Presente
0;781;Faible;Absente
0;1402;Moyenne;Absente
0;1492;Forte;Absente
1;1236;Faible;Presente
1;1028;Moyenne;Presente
1;1003;Forte;Presente
0;729;Faible;Absente
1;1237;Moyenne;Absente
0;762;Forte;Absente
0;1039;Faible;Presente
1;529;Moyenne;Presente
1;803;Forte;Presente
0;740;Faible;Absente
0;743;Moyenne;Absente
0;1448;Forte;Absente
0;946;Faible;Presente
1;403;Moyenne;Presente
1;1159;Forte;Presente
0;1039;Faible;Absente
1;988;Moyenne;Absente
0;1646;Forte;Absente
0;1276;Faible;Presente
1;974;Moyenne;Presente
1;485;Forte;Presente
0;1051;Faible;Absente
0;1568;Moyenne;Absente
1;1104;Forte;Absente
1;1106;Faible;Presente
1;1058;Moyenne;Presente
1;1146;Forte;Presente
0;799;Faible;Absente
1;668;Moyenne;Absente
0;1099;Forte;Absente
0;1100;Faible;Presente
1;1018;Moyenne;Presente
1;1291;Forte;Presente
0;1136;Faible;Absente
0;1084;Moyenne;Absente
0;1676;Forte;Absente
0;554;Faible;Presente
0;475;Moyenne;Presente
1;1013;Forte;Presente
0;1622;Faible;Absente
0;1412;Moyenne;Absente
1;873;Forte;Absente
1;528;Faible;Presente
1;747;Moyenne;Presente
1;827;Forte;Presente
0;1810;Faible;Absente
0;1181;Moyenne;Absente
1;1561;Forte;Absente
1;1036;Faible;Presente
1;932;Moyenne;Presente
1;834;Forte;Presente
0;993;Faible;Absente
0;577;Moyenne;Absente
0;874;Forte;Absente
1;1212;Faible;Presente
1;1016;Moyenne;Presente
1;1084;Forte;Presente
0;653;Faible;Absente
0;1395;Moyenne;Absente
1;489;Forte;Absente
0;610;Faible;Presente
0;1038;Moyenne;Presente
1;957;Forte;Presente
0;1241;Faible;Absente
1;1520;Moyenne;Absente
1;1133;Forte;Absente
0;730;Faible;Presente
1;993;Moyenne;Presente
1;780;Forte;Presente
0;778;Faible;Absente
0;670;Moyenne;Absente
1;1274;Forte;Absente
0;1234;Faible;Presente
1;1000;Moyenne;Presente
1;985;Forte;Presente
0;1251;Faible;Absente
0;1572;Moyenne;Absente
0;1289;Forte;Absente
1;788;Faible;Presente
0;916;Moyenne;Presente
1;846;Forte;Presente
0;354;Faible;Absente
0;952;Moyenne;Absente
0;1510;Forte;Absente
1;1075;Faible;Presente
1;800;Moyenne;Presente
1;1146;Forte;Presente
0;1166;Faible;Absente
1;1075;Moyenne;Absente
1;895;Forte;Absente
1;961;Faible;Presente
1;883;Moyenne;Presente
1;948;Forte;Presente
1;900;Faible;Absente
1;917;Moyenne;Absente
1;816;Forte;Absente
0;1324;Faible;Presente
1;908;Moyenne;Presente
1;802;Forte;Presente
0;1154;Faible;Absente
1;1309;Moyenne;Absente
1;730;Forte;Absente
0;966;Faible;Presente
1;1017;Moyenne;Presente
1;778;Forte;Presente
0;939;Faible;Absente
0;985;Moyenne;Absente
0;831;Forte;Absente
0;1309;Faible;Presente
1;1250;Moyenne;Presente
1;574;Forte;Presente
0;1093;Faible;Absente
0;844;Moyenne;Absente
1;1315;Forte;Absente
1;821;Faible;Presente
1;1535;Moyenne;Presente
1;926;Forte;Presente
0;1228;Faible;Absente
0;1157;Moyenne;Absente
0;1158;Forte;Absente
0;1677;Faible;Presente
1;892;Moyenne;Presente
1;1325;Forte;Presente
0;1107;Faible;Absente
0;1014;Moyenne;Absente
0;846;Forte;Absente
0;374;Faible;Presente
1;1066;Moyenne;Presente
1;653;Forte;Presente
0;1169;Faible;Absente
0;1234;Moyenne;Absente
0;925;Forte;Absente
0;1002;Faible;Presente
1;978;Moyenne;Presente
1;822;Forte;Presente
0;1146;Faible;Absente
1;1174;Moyenne;Absente
0;964;Forte;Absente
0;823;Faible;Presente
0;1392;Moyenne;Presente
1;1383;Forte;Presente
1;1203;Faible;Absente
0;928;Moyenne;Absente
0;922;Forte;Absente
0;508;Faible;Presente
1;1260;Moyenne;Presente
1;957;Forte;Presente
0;908;Faible;Absente
0;859;Moyenne;Absente
0;755;Forte;Absente
0;623;Faible;Presente
0;917;Moyenne;Presente
1;552;Forte;Presente
0;1340;Faible;Absente
0;1165;Moyenne;Absente
1;1410;Forte;Absente
1;1028;Faible;Presente
1;1521;Moyenne;Presente
1;1259;Forte;Presente
0;843;Faible;Absente
1;1331;Moyenne;Absente
1;945;Forte;Absente
0;1029;Faible;Presente
1;1926;Moyenne;Presente
1;739;Forte;Presente
0;1168;Faible;Absente
1;943;Moyenne;Absente
1;1043;Forte;Absente
0;182;Faible;Presente
1;1053;Moyenne;Presente
1;1142;Forte;Presente
0;1300;Faible;Absente
0;1204;Moyenne;Absente
0;1420;Forte;Absente
1;1376;Faible;Presente
1;676;Moyenne;Presente
1;1604;Forte;Presente
0;1136;Faible;Absente
0;1180;Moyenne;Absente
1;1193;Forte;Absente
0;435;Faible;Presente
1;1166;Moyenne;Presente
1;1458;Forte;Presente
0;951;Faible;Absente
0;743;Moyenne;Absente
0;690;Forte;Absente
0;866;Faible;Presente
0;1323;Faible;Absente
0;1635;Moyenne;Absente
